"lexical_class","uni_lemma","valence","arousal","dominance"
"nouns","greenhouse",6.4,3.6,5.84
"verbs","greet",6.25,3.86,6.54
"other","grocery",6.62,3.48,6.33
"nouns","ground",5.28,2.35,5.5
"other","grrr",4.43,3.95,5.11
"other","guest",6.14,4.15,6.95
"nouns","gum",5.89,3.2,4.92
"function_words","hafta/have to",NA,NA,NA
"nouns","hair",6.18,3.71,6.69
"other","hairdresser",5.71,3.91,4.71
"nouns","ham",4.65,4.2,5.85
"nouns","hamburger",6.93,4.2,5.35
"nouns","hammer",5.17,4.56,5.59
"nouns","hand",5.9,3.98,5.88
"other","hands up",NA,NA,NA
"adjectives","happy",8.47,6.05,7.21
"adjectives","hard",4.35,4.5,4.96
"nouns","hat",5.69,2.88,6.21
"verbs","hate",1.96,6.26,4.47
"other","have",5.86,3.52,5.72
"verbs","have",5.86,3.52,5.72
"other","have hands",NA,NA,NA
"function_words","he",NA,NA,NA
"nouns","head",5.86,4.45,5.56
"verbs","hear",6.68,3.62,6.71
"adverbs","heavily",4.78,3.65,3.61
"adjectives","heavy",4.78,3.65,3.61
"nouns","hedgehog",5.88,4,5.72
"other","hee haw",6.29,2.9,5.12
"nouns","helicopter",5.55,6.11,6.17
"other","hello",6.25,3.86,6.54
"verbs","help",6.95,4.29,6.89
"nouns","hen",6.14,3.39,5.39
"function_words","her",NA,NA,NA
"function_words","here",NA,NA,NA
"other","here (take)",NA,NA,NA
"function_words","hers",NA,NA,NA
"other","hi",6.25,3.86,6.54
"verbs","hide",4.9,3.52,4.85
"other","hide and seek",6.79,5.05,5.84
"adjectives","high",5.77,4.1,5.76
"function_words","high",5.77,4.1,5.76
"nouns","high chair",5.89,2.86,5.28
"function_words","him",NA,NA,NA
"function_words","himself/herself",NA,NA,NA
"nouns","hippopotamus",6.38,4.17,5.22
"function_words","his",NA,NA,NA
"verbs","hit",3.95,5.48,5.15
"verbs","hold",6.05,4.86,5.67
"function_words","home",7.48,3.78,6.77
"nouns","home",7.48,3.78,6.77
"other","home",7.48,3.78,6.77
"nouns","honey",7.27,4.38,6.39
"other","honk honk",4.95,3.96,5.47
"other","hop",5.89,3.71,5.04
"nouns","horse",6.05,4.16,5.71
"nouns","hose",5,4.54,5.67
"adjectives","hot",5.73,4.76,5
"nouns","hot dog",6.21,3.85,5.58
"adverbs","hotly",5.73,4.76,5
"nouns","house",7.19,3.95,6.41
"other","house",7.19,3.95,6.41
"function_words","how",NA,NA,NA
