"iconicity","babiness","uni_lemma","lexical_class"
1.09091,1.30769,"alligator","nouns"
0.6,1.6,"ant","nouns"
0.454545,2.07692,"hen","nouns"
0.3,2,"moose","nouns"
0.833333,1.5,"rooster","nouns"
1.25,1.18182,"wolf","nouns"
-0.538462,1.72727,"zebra","nouns"
1.14286,1.36364,"boat","nouns"
NA,NA,"helicopter","nouns"
0.6,1.54545,"sled","nouns"
0.583333,1.29412,"tractor","nouns"
NA,NA,"tricycle","nouns"
0.153846,1.61538,"bat","nouns"
0.636364,2.35714,"chalk","nouns"
0.818182,7.5,"crayon","nouns"
0.0666667,4.38462,"game","nouns"
0.6,1.63636,"glue","nouns"
0.625,2.36364,"pencil","nouns"
NA,NA,"play dough","nouns"
0.307692,4.1,"present","nouns"
1.66667,3.30769,"puzzle","nouns"
0.454545,7,"story","nouns"
NA,NA,"applesauce","nouns"
NA,NA,"beans","nouns"
0.545455,2.14286,"chocolate","nouns"
1,1.5,"coke","nouns"
0.307692,1.81818,"corn","nouns"
0.181818,2.33333,"donut","nouns"
NA,NA,"french fries","nouns"
-0.8125,3,"grapes","nouns"
0.375,1.63158,"green beans","nouns"
1.6,3.71429,"gum","nouns"
-0.357143,1.41667,"hamburger","nouns"
0.642857,2.25,"ice","nouns"
2.25,4.36364,"jello","nouns"
1.6,2.5,"jelly","nouns"
1.33333,5.18182,"lollipop","nouns"
-0.214286,3.63636,"melon","nouns"
1.07692,2.30769,"muffin","nouns"
0.545455,1.25,"nuts","nouns"
NA,NA,"pancake","nouns"
NA,NA,"peanut butter","nouns"
1.54545,1.13333,"pickle","nouns"
NA,NA,"popcorn","nouns"
0.5,3.63636,"popsicle","nouns"
NA,NA,"potato chip","nouns"
0.857143,2.83333,"potato","nouns"
0.181818,1.54545,"pretzel","nouns"
0.3,5.6,"pudding","nouns"
-0.583333,1.90909,"pumpkin","nouns"
-0.0909091,1,"salt","nouns"
-0.133333,2.7,"sandwich","nouns"
1.16667,1.81818,"sauce","nouns"
0.705882,1.2,"soda","nouns"
1,2.63636,"soup","nouns"
0.375,2.83333,"strawberry","nouns"
0.153846,2.2,"tuna","nouns"
0.181818,3.81818,"vanilla","nouns"
0.583333,5.3,"vitamins","nouns"
-0.166667,3.5,"yogurt","nouns"
1.2,1.28571,"belt","nouns"
0,2.9,"dress (object)","nouns"
-1.1,2.84615,"gloves","nouns"
0,5.28571,"mittens","nouns"
0.416667,2.6,"scarf","nouns"
1.53846,2,"slipper","nouns"
0,2.2,"sneaker","nouns"
NA,NA,"snowsuit","nouns"
1.72727,2.66667,"tights","nouns"
NA,NA,"underpants","nouns"
0.466667,4.45455,"ankle","nouns"
0.25,4.81818,"butt","nouns"
1.33333,4.92308,"chin","nouns"
2.30769,4.2,"lips","nouns"
-0.2,3.28571,"penis","nouns"
-0.5,2.83333,"shoulder","nouns"
-0.9,5.13333,"vagina","nouns"
-0.166667,5,"basket","nouns"
-0.529412,1.5,"bucket","nouns"
1.33333,4.9,"camera","nouns"
NA,NA,"can (object)","nouns"
0.333333,1.27273,"garbage","nouns"
0.461538,4.4,"jar","nouns"
0.52381,1.38462,"knife","nouns"
1.8125,2.25,"mop","nouns"
0.181818,2.84615,"nails","nouns"
-0.545455,3.35714,"napkin","nouns"
0.5,1.5,"tape","nouns"
1.69231,3,"tissue","nouns"
-0.0666667,2.3,"tray","nouns"
0.8,7.6,"walker","nouns"
0.818182,1.36364,"basement","nouns"
-0.916667,2,"bench","nouns"
1.4375,1.91667,"closet","nouns"
NA,NA,"dryer","nouns"
-0.6,1.125,"porch","nouns"
NA,NA,"room","nouns"
0.941176,2.72727,"shower","nouns"
-0.4,2.2,"sofa","nouns"
1.55556,2.35294,"washing machine","nouns"
1,2.36364,"cloud","nouns"
-0.785714,1.90909,"flag","nouns"
1.1,1.72727,"grass","nouns"
0.642857,2.30769,"hose","nouns"
1.38462,1.7,"ladder","nouns"
NA,NA,"lawn mower","nouns"
-0.25,1.33333,"roof","nouns"
NA,NA,"sandbox","nouns"
NA,NA,"sidewalk","nouns"
NA,NA,"snowman","nouns"
1.89474,2.72727,"sprinkler","nouns"
1.92857,1.25,"stick","nouns"
1.27273,1.15385,"stone","nouns"
-0.181818,1.7,"street","nouns"
1.14286,2.54545,"wind","nouns"
-0.214286,3,"beach","other"
0.636364,1.6,"camping","other"
0.0769231,2.53846,"church","other"
0.6,4.45455,"circus","other"
-0.529412,1.85714,"country","other"
NA,NA,"downtown","other"
-0.105263,1.72727,"farm","other"
NA,NA,"gas station","other"
2,5.23077,"home","other"
0.454545,3.16667,"house","other"
0.285714,2.8,"movie","other"
NA,NA,"outside","other"
0.384615,5.14286,"park","other"
1.92308,5.83333,"party","other"
-0.538462,2.72727,"picnic","other"
NA,NA,"playground","other"
-0.214286,3.78571,"school","other"
-0.875,3.75,"store","other"
2.33333,1.29412,"woods","other"
NA,NA,"work (place)","other"
-0.272727,2.6,"yard","other"
1.53846,3.72727,"zoo","other"
0.153846,2.41667,"clown","other"
NA,NA,"cowboy","other"
1.6,6.7,"doctor","other"
NA,NA,"fireman","other"
0.818182,3.75,"friend","other"
NA,NA,"mailman","other"
1,6.35714,"nurse","other"
NA,NA,"pet's name","other"
0.0588235,1.9,"police","other"
NA,NA,"call (on phone)","other"
NA,NA,"give me five","other"
NA,NA,"gonna get you","other"
0.7,6.90909,"go potty","other"
1.41176,3.76923,"shopping","other"
0.583333,3.16667,"snack","other"
1.09091,2.72727,"so big","other"
NA,NA,"this little piggy","other"
0,3.3,"turn around","other"
1.15385,2.42857,"build","verbs"
-0.0833333,4.06667,"buy","verbs"
0,5.90909,"carry","verbs"
0.461538,2.5,"catch","verbs"
0.692308,3.8,"chase","verbs"
2.83333,6.15,"clap","verbs"
0.846154,2.90909,"climb","verbs"
0.9,2.08333,"cook","verbs"
0.428571,3.08333,"cover","verbs"
0.705882,1.9375,"cut","verbs"
1.07143,2.53846,"drop","verbs"
NA,NA,"dry (action)","verbs"
2.9375,2.36364,"dump","verbs"
0,2.90909,"find","verbs"
0.470588,1.66667,"fit","verbs"
0.538462,2.09091,"fix","verbs"
1.4375,2.75,"hate","verbs"
NA,NA,"have","verbs"
0.0666667,4.6,"hear","verbs"
1.14286,4.75,"hide","verbs"
0.846154,6.68421,"hold","verbs"
3.0625,1.92308,"knock","verbs"
1.16667,3.57143,"lick","verbs"
-0.333333,5.125,"like","verbs"
0.75,2.16667,"listen","verbs"
0.642857,3.25,"make","verbs"
1.72727,3.08333,"paint","verbs"
2.07692,2.26316,"pick","verbs"
1.3,2.18182,"pour","verbs"
