word,mean,median,var,count
next_to,0.109175635624,0.0495192158158,0.890690336208,4
bottom,0.10991899625,0.00146816632379,0.317835744786,23
mind,0.112073672377,0.0608721780324,0.261594665577,23
hard,0.113738511653,0.0812939352584,0.19035998246,23
people,0.113986751949,0.116437255607,0.194462420536,23
being,0.115777144414,0.0227761739597,0.219017158793,23
figured,0.117398340429,-0.131396638755,0.258951413784,8
pick,0.118098256369,0.0770398983966,0.136773000157,23
thought,0.118997517721,0.134089917436,0.200879038328,23
here's,0.120152459232,0.112918918499,0.199896703348,23
coming,0.120382111079,0.112002142478,0.158815486939,23
slightly,0.120919905744,-0.00670071457536,0.42479355683,11
putting,0.123145812179,-0.0369370588598,0.238329259341,23
hasn't,0.123166727766,0.108146809294,0.298801552428,23
make,0.124580408318,0.120165355162,0.139299882545,23
how's,0.12532243103,0.0251270646969,0.256438952313,23
sound,0.126863333659,0.12756791797,0.259612759433,23
matter,0.127130545249,0.119945499528,0.159383961288,23
different,0.127235115217,-0.00902183935975,0.322126316289,23
somewhere,0.130025411419,-0.0569030116583,0.311818783781,23
act,0.130253765948,0.166031769233,0.354733317944,8
attached,0.130392228555,0.10339100165,0.588010618922,11
that'll,0.133771953831,0.114004250141,0.277952479626,23
lot,0.138764927408,0.124733006674,0.213913007346,23
watch,0.140026164743,0.0960282490488,0.238800169271,23
playing,0.140787067059,0.171063604575,0.174586065313,23
tucked,0.142478013067,0.0880753689938,0.0951177096002,12
top,0.142761047716,0.0720697778725,0.145921791288,23
wonder,0.144069076081,0.023783979702,0.211860211365,23
front,0.14469266067,0.0821350858915,0.264079734027,23
find,0.148549467277,0.163492272919,0.107284974642,23
fun,0.148557075733,0.131760690012,0.259587668834,21
hand,0.151686045354,0.226967529324,0.137474430981,23
bringing,0.152210557476,0.290645716345,0.400059573041,21
place,0.152448269761,0.206752343373,0.196559347843,23
tired,0.153674794385,0.0998729535395,0.303575935601,23
mhm,0.15511165483,0.203043232482,0.110085485916,23
work,0.15749353217,0.266220736019,0.146896483066,23
out_of,0.162454583341,0.132688802741,0.0417913377348,4
sit,0.162511746455,0.0510874376823,0.195044144506,23
show,0.162625765655,0.177626759125,0.206289818282,23
wrong,0.165535594156,0.0347157364343,0.291379093788,23
end,0.16712732853,0.229572616511,0.247829971664,23
staying,0.167194296236,0.296270952441,0.339050061599,21
fed,0.167724166245,0.125661515258,0.392165657102,19
awful,0.168341626423,0.157728597051,0.23044723766,21
kind,0.168634701476,0.0454471626112,0.326198436889,21
