ID_CDI_II;ID_CDI_I;Word_NW;Word_CDI;Translation;Homonymous;In_NW;Word_class;Lex_cat;Broad_lex;Imageability;Phon_neighbours;Phonemes;Syllables
i_9_7;#N/A;'en do';'do';'toilet';n;y;noun;common nouns;nominals;6,8;29;2;1
i_12_12;#N/A;'en doktor';'doktor';'doctor';n;y;noun;people;nominals;6,17;1;6;2
i_14_96;i_17_4;'å dra';'dra';'go';n;y;verb;action words;predicates;4,85;14;3;1
i_6_4;#N/A;'en dress';'dress (ute)';'(thermal) suit';n;y;noun;common nouns;nominals;6,88;10;4;1
i_14_9;i_17_5;'å drikke';'drikke';'drink';n;y;verb;action words;predicates;6,7;10;5;2
i_5_13;#N/A;'en drue';'druer';grapes';n;y;noun;common nouns;nominals;6,29;11;4;2
i_4_6;i_7_5;'ei dukke';'dukke';'doll';n;y;noun;common nouns;nominals;6,51;19;4;2
i_2_5;i_5_5;'et dyr';'dyr';'animal';n;y;noun;common nouns;nominals;5,78;23;3;1
i_11_6;i_14_2;'en dyrehage';'dyrehage';'zoo';n;y;noun;places to go;nominals;6,43;2;8;4
i_14_10;i_17_6;'å dytte';'dytte';'push';n;y;verb;action words;predicates;5,98;24;4;2
i_9_8;i_12_5;'ei dør';'dør';'door';n;y;noun;common nouns;nominals;7,07;28;3;1
i_15_8;#N/A;'dårlig';'dårlig';'bad';n;y;adjective;descriptive words;predicates;3,72;3;4;2
i_5_14;i_8_7;'et egg';'egg';'egg';n;y;noun;common nouns;nominals;7;22;2;1
i_15_9;i_18_4;ekkel';'ekkelt';'yucky';n;y;adjective;descriptive words;predicates;4,52;2;5;2
i_2_6;i_5_6;'et ekorn';'ekorn';'squirrel';n;y;noun;common nouns;nominals;6,85;3;4;2
i_2_7;i_5_7;'en elefant';'elefant';'elephant';n;y;noun;common nouns;nominals;7,18;0;7;3
i_2_8;i_5_8;'en elg';'elg';'moose';n;y;noun;common nouns;nominals;6,99;10;3;1
i_5_15;i_8_8;'et eple';'eple';'apple';n;y;noun;common nouns;nominals;6,78;7;4;2
i_5_16;#N/A;'en ert';'erter';'peas';n;y;noun;common nouns;nominals;6,91;15;2;1
i_2_9;#N/A;'et esel';'esel';'donkey';n;y;noun;common nouns;nominals;6,72;4;4;2
i_14_13;i_17_9;'å falle';'falle';'fall';n;y;verb;action words;predicates;5,64;35;4;2
i_11_7;i_14_3;'en fest';'fest';'party';n;y;noun;places to go;nominals;6,32;18;4;1
i_15_10;i_18_5;'fin';'fin';'fine';n;y;adjective;descriptive words;predicates;4,57;21;3;1
i_7_5;i_10_4;'en finger';'finger';'finger';n;y;noun;common nouns;nominals;6,91;4;5;2
i_14_14;#N/A;'å finne';'finne';'find';n;y;verb;action words;predicates;4,3;22;4;2
i_2_10;i_5_9;'en fisk';'fisk';'fish';n;y;noun;common nouns;nominals;6,8;14;4;1
i_10_4;#N/A;'et fjell';'fjell';'mountain';n;y;noun;places to go;nominals;6,67;8;4;1
i_10_5;#N/A;'et flagg';'flagg';'flag';n;y;noun;places to go;nominals;6,48;11;4;1
i_8_11;i_11_6;'ei flaske';'flaske';'bottle';n;y;noun;common nouns;nominals;6,59;13;6;2
i_2_11;i_5_10;'ei flue';'flue';'fly';n;y;noun;common nouns;nominals;6,88;8;4;2
i_3_7;i_6_5;'et fly';'fly';'airplane';n;y;noun;common nouns;nominals;6,72;17;3;1
i_15_11;i_18_6;'forsiktig';'forsiktig';'careful';n;y;adjective;descriptive words;predicates;4,21;1;7;3
i_15_13;i_18_7;'fort';'fort';'fast';n;y;adjective;descriptive words;predicates;5,11;12;3;1
i_10_6;#N/A;'et fortau';'fortau';'sidewalk';n;y;noun;places to go;nominals;6,52;3;4;2
i_14_15;i_17_10;'å forte seg';'forte seg';'hurry';n;y;verb;action words;predicates;5,04;0;7;3
i_7_6;i_10_5;'en fot';'fot';'foot';n;y;noun;common nouns;nominals;6,7;22;3;1
i_5_18;i_8_10;'frokostblanding';'frokostblanding';'cereal';n;y;noun;common nouns;nominals;6,41;1;13;4
i_2_12;i_5_11;'en frosk';'frosk';'frog';n;y;noun;common nouns;nominals;6,8;3;5;1
i_5_19;#N/A;'frukt';'frukt';'fruits';n;y;noun;common nouns;nominals;6,56;7;5;1
i_2_13;i_5_12;'en fugl';'fugl';'bird';n;y;noun;common nouns;nominals;7;23;3;1
i_15_15;#N/A;'full';'full';'full';n;y;adjective;descriptive words;predicates;5,97;22;3;1
i_14_16;i_17_8;'å få';'få';'get';n;y;verb;action words;predicates;4,19;26;2;1
i_8_13;i_11_7;'en gaffel';'gaffel';'fork';n;y;noun;common nouns;nominals;6,84;3;5;2
i_15_16;i_18_9;'gammel';'gammel';'old';n;y;adjective;descriptive words;predicates;5,71;5;5;2
i_9_10;i_12_6;'en garasje';'garasje';'garage';n;y;noun;common nouns;nominals;6,53;3;6;3
i_6_5;i_9_3;'en genser';'genser';'sweater';n;y;noun;common nouns;nominals;6,7;3;6;2
i_14_17;i_17_12;'å gi';'gi';'give';n;y;verb;action words;predicates;5,19;23;2;1
i_14_18;#N/A;'å gjemme';'gjemme';'hide';n;y;verb;action words;predicates;5,39;23;4;2
i_21_8;#N/A;'å gjøre';'gjøre';'do';n;y;verb;closed-class items;closed-class;4;22;4;2
i_15_17;i_18_10;'glad';'glad';'happy';n;y;adjective;descriptive words;predicates;5,95;14;3;1
i_8_14;i_11_8;'et glass';'glass';'glass';n;y;noun;common nouns;nominals;6,89;16;4;1
i_14_20;#N/A;'å gli';'gli';'slide';n;y;verb;action words;predicates;5,6;19;3;1
i_6_6;i_9_4;'en glidelås';'glidelås';'zipper';n;y;noun;common nouns;nominals;6,64;2;8;3
i_15_18;#N/A;'god';'god';'good';n;y;adjective;descriptive words;predicates;3,68;20;2;1
i_5_20;#N/A;'godteri';'godteri';'candy';n;y;noun;common nouns;nominals;6,44;3;6;3
i_10_7;#N/A;'gress';'gress';'grass';n;y;noun;places to go;nominals;6,41;16;4;1
i_10_8;#N/A;'en gressklipper';'gressklipper';'lawn mower';n;y;noun;places to go;nominals;6,86;3;10;3
i_2_15;i_5_14;'en gris';'gris';'pig';n;y;noun;common nouns;nominals;6,9;16;4;1
i_15_19;#N/A;'grønn';'grønn';'green';n;y;adjective;descriptive words;predicates;6,48;12;4;1
i_5_21;#N/A;'grøt';'grøt';'porridge';n;y;noun;common nouns;nominals;6,82;12;4;1
i_14_21;i_17_14;'å gråte';'gråte';'cry';n;y;verb;action words;predicates;6,33;10;5;2
i_15_20;#N/A;'gul';'gul';'yellow';n;y;adjective;descriptive words;predicates;6,76;21;3;1
i_5_22;i_8_11;'ei gulrot';'gulrot';'carrot';n;y;noun;common nouns;nominals;6,9;1;6;2
i_12_16;i_15_10;'en gutt';'gutt';'boy';n;y;noun;people;nominals;6,69;17;3;1
i_14_22;i_17_11;'å gå';'gå';'walk';n;y;verb;action words;predicates;6,13;24;2;1
i_8_12;#N/A;'en gåbil';'gåbil';'toy car';n;y;noun;common nouns;nominals;5,76;0;5;2
i_2_14;i_5_13;'ei gås';'gås';'goose';n;y;noun;common nouns;nominals;6,52;16;3;1
i_14_23;#N/A;'å ha';'ha';'have';n;y;verb;action words;predicates;3,35;4;6;2
i_11_8;i_14_4;'en hage';'hage';'yard';n;y;noun;places to go;nominals;6,74;22;4;2
i_5_23;#N/A;'en hamburger';'hamburger';'hamburger';n;y;noun;common nouns;nominals;6,52;1;9;3
i_2_16;#N/A;'en hane';'hane';'rooster';n;y;noun;common nouns;nominals;7,05;24;4;2
i_6_8;#N/A;'en hanske';'hansker';'gloves';n;y;noun;common nouns;nominals;6,66;7;6;2
i_15_21;i_18_12;'hard';'hard';'hard';n;y;adjective;descriptive words;predicates;4,69;27;3;1
i_14_24;#N/A;'å hate';'hate';'hate';n;y;verb;action words;predicates;3,63;28;4;2
i_3_8;#N/A;'et helikopter';'helikopter';'helicopter';n;y;noun;common nouns;nominals;6,9;1;10;4
i_14_25;#N/A;'å helle';'helle';'pour';n;y;verb;action words;predicates;6;37;4;2
i_12_17;#N/A;'ei helsesøster';'helsesøster';'nurse';n;y;noun;people;nominals;5,98;1;11;4
i_14_26;i_17_15;'å hente';'hente';'get';n;y;verb;action words;predicates;4,47;23;5;2
i_2_17;i_5_15;'en hest';'hest';'horse';n;y;noun;common nouns;nominals;6,77;15;4;1
i_10_9;i_13_2;'en himmel';'himmel';'sky';n;y;noun;places to go;nominals;6,92;0;5;2
i_14_27;i_17_16;'å hjelpe';'hjelpe';'help';n;y;verb;action words;predicates;4,67;6;5;2
i_11_9;i_14_5;'et hjem';'hjem';'home';n;y;noun;places to go;nominals;5,72;23;3;1
i_7_10;i_10_8;'et hode';'hode';'head';n;y;noun;common nouns;nominals;6,44;14;4;2
i_14_28;#N/A;'å holde';'holde';'hold';n;y;verb;action words;predicates;5,48;27;4;2
i_14_30;i_17_18;'å hoppe';'hoppe';'jump';n;y;verb;action words;predicates;6,43;23;4;2
i_2_19;i_5_16;'en hund';'hund';'dog';n;y;noun;common nouns;nominals;6,93;19;3;1
i_11_10;i_14_6;'et hus';'hus';'house';n;y;noun;places to go;nominals;6,56;23;3;1
i_10_10;i_13_3;'ei huske';'huske';'swing';n;y;noun;places to go;nominals;6,42;16;5;2
i_15_23;#N/A;'hvit';'hvit';'white';n;y;adjective;descriptive words;predicates;6,49;30;3;1
i_2_18;#N/A;'ei høne';'høne';'hen';n;y;noun;common nouns;nominals;6,93;17;4;2
i_14_32;#N/A;'å høre';'høre';'hear';n;y;verb;action words;predicates;5,31;23;4;2
i_7_8;i_10_6;'ei hånd';'hånd';'hand';n;y;noun;common nouns;nominals;7,1;24;3;1
i_8_16;i_11_10;'et håndkle';'håndkle';'towel';n;y;noun;common nouns;nominals;6,62;2;6;2
i_7_9;i_10_7;'hår';'hår';'hair';n;y;noun;common nouns;nominals;6,67;30;3;1
i_6_9;i_9_6;'ei jakke';'jakke';'jacket';n;y;noun;common nouns;nominals;6,69;23;4;2
i_12_18;i_15_11;'ei jente';'jente';'girl';n;y;noun;people;nominals;6,92;19;5;2
i_11_11;i_14_7;'en jobb';'jobb';'work';n;y;noun;places to go;nominals;5,18;11;3;1
i_14_1;#N/A;'å jobbe';'jobbe';'work';n;y;verb;action words;predicates;5,65;15;4;2
i_6_10;#N/A;'en joggesko';'joggesko';'sneakers';n;y;noun;common nouns;nominals;6,98;1;7;3
i_5_25;#N/A;'et jordbær';'jordbær';'strawberry';n;y;noun;common nouns;nominals;6,9;3;6;2
i_5_26;i_8_13;'juice';'juice';'juice';n;y;noun;common nouns;nominals;6,68;21;3;1
