language,form,measure,lexical_category,mean,ci_lower,ci_upper,instrument
Spanish,WG,understands,Predicates,0.00269287416871273,-0.00582837624493544,0.010937581966888,Spanish WG
Spanish,WS,produces,Function Words,-0.0848970953379488,-0.0904771839374311,-0.0787694707381551,Spanish WS
Spanish,WS,produces,Nouns,0.058882276567645,0.0567005447235714,0.062580598330287,Spanish WS
Spanish,WS,produces,Predicates,-0.060654292926972,-0.0658129064639161,-0.0548800007086405,Spanish WS
Swedish,WG,produces,Function Words,-0.1926292678357,-0.232805703708475,-0.158708624246612,Swedish WG
Swedish,WG,produces,Nouns,0.0584075162095932,0.0349721867457913,0.102999636599825,Swedish WG
Swedish,WG,produces,Predicates,-0.0505031111735078,-0.144682911305344,-0.00706385883559969,Swedish WG
Swedish,WG,understands,Function Words,-0.128227042229704,-0.142421810692199,-0.104102044993232,Swedish WG
Swedish,WG,understands,Nouns,0.0196630446373885,0.0164423225648023,0.0226678010075169,Swedish WG
Swedish,WG,understands,Predicates,0.00838139661381662,0.00261747732021695,0.0144169415965028,Swedish WG
Swedish,WS,produces,Function Words,-0.173305317144414,-0.180402308995995,-0.165857661923797,Swedish WS
Swedish,WS,produces,Nouns,0.0542358912755319,0.051424267904111,0.056900872996444,Swedish WS
Swedish,WS,produces,Predicates,-0.00894113046877281,-0.0133605154811228,-0.00472948459685726,Swedish WS
Turkish,WG,produces,Function Words,0.00125283274388249,-0.0264543499841689,0.037345249185241,Turkish WG
Turkish,WG,produces,Nouns,-0.0255308796048011,-0.053317659860796,0.0230155291409693,Turkish WG
Turkish,WG,produces,Predicates,0.0442301123574065,0.0301046633211736,0.0625156543810119,Turkish WG
Turkish,WG,understands,Function Words,-0.0502243913342408,-0.0587845414882323,-0.0381210806626391,Turkish WG
Turkish,WG,understands,Nouns,-0.00894760647008911,-0.012546472558075,-0.0026200606063338,Turkish WG
Turkish,WG,understands,Predicates,0.0291845651875626,0.0214001351256874,0.0351579265893767,Turkish WG
Turkish,WS,produces,Function Words,-0.113611339191507,-0.118899901465135,-0.104048436883021,Turkish WS
Turkish,WS,produces,Nouns,0.0318887565759878,0.0291252679234523,0.0347827582589662,Turkish WS
