item,probability,frequency
apa,8.8136457965e-05,8.87597259901e-05
socka,0.000280595262808,0.000186109102883
hjälpa,0.000280595262808,0.000631339341317
kex,3.94345665552e-05,4.00850375439e-05
nam nam,0.000561190525615,7.30120326693e-05
middag,2.0043119846e-05,1.43160848371e-06
nalle,0.000280595262808,0.000502494577783
gunga,0.000280595262808,0.000237647008296
varmt,0.000195584128797,0.000196130362269
traktor,0.000130432310317,0.000463841148723
skola,0.000280595262808,6.29907732833e-05
dricka,0.000280595262808,0.000631339341317
potta,0.000280595262808,1.43160848371e-05
affär,0.000194151460712,0.000194698753785
filt,0.000127987478638,1.57476933208e-05
ingen,0.000280595262808,0.0014330400922
vad,0.000549457534536,0.000549737657745
mössa,0.000280595262808,0.000164634975627
skjorta,0.000280595262808,3.43586036091e-05
syster,0.000280595262808,2.29057357394e-05
kniv,9.10015939582e-05,9.16229429576e-05
tom,9.10015939582e-05,9.16229429576e-05
mörk,8.8136457965e-05,8.87597259901e-05
sked,0.000217074193371,0.000217604489524
du/din,0.000561190525615,0.0452116275241
sover,0.000280595262808,0.000753026062432
hand,0.000565217149208,0.000565485351066
hej,0.000803044240043,0.000803132359362
skynda,0.000280595262808,4.58114714788e-05
gammal,0.000234266293552,0.000234783791329
landet,0.000121086240299,0.000121686721116
mjau,1.91671445923e-06,1.43160848371e-05
vatten,0.000280595262808,0.00056691695955
lekpark,1.41075064634e-07,2.86321696742e-06
skriva,0.000280595262808,0.000108802244762
ljus,0.000156902265141,0.000157476933208
torr,1.80690720843e-06,1.71793018045e-05
hård,1.82897317837e-06,2.0042518772e-05
tiger,0.000280595262808,4.29482545114e-05
var,0.00390053151457,0.00389826990115
öra,5.37568776914e-05,5.44011223811e-05
stjärt,4.51631513697e-05,4.58114714788e-05
hur,0.001589593698,0.00158908541692
jacka,0.000280595262808,5.58327308648e-05
baby,5.60936773943e-06,2.86321696742e-05
dörr,0.000217074193371,0.000217604489524
när,0.00379164665016,0.00378946765639
sko,5.08922136324e-05,5.15379054136e-05
glad,0.000250025748419,0.00025053148465
fort,0.000214208847172,0.000214741272557
kalas,0.000280595262808,0.000166066584111
kind,5.60936773943e-06,2.86321696742e-05
bild,0.000343150167924,0.000343586036091
ben,0.000310198395798,0.000310659040965
spagetti,2.10771572527e-06,2.29057357394e-05
ute,0.000878977030052,0.000879007608999
borste,0.000280595262808,0.000362196946379
tvätta,0.000280595262808,0.000446661846918
knä,0.000101029681905,0.000101644202344
tand,0.000171228833418,0.000171793018045
det,0.00129445849935,0.00129417406928
nycklar,0.000280595262808,1.14528678697e-05
mu,4.80276331025e-05,4.86746884462e-05
frukost,5.94864095859e-05,6.01275563159e-05
penna,0.000280595262808,0.000117391895664
cykel,0.000121086240299,0.000121686721116
den,0.0212461776707,0.0212307538134
tvål,0.00010532747865,0.000105939027795
ansikte,0.000280595262808,2.86321696742e-05
tant,9.10015939582e-05,9.16229429576e-05
mormor,4.00862396921e-05,1.14528678697e-05
bröd,5.66216130035e-05,5.72643393485e-05
kyrkan,4.51631513697e-05,4.58114714788e-05
kudde,0.000280595262808,7.4443641153e-05
börs,0.000280595262808,2.86321696742e-06
tunga,0.000280595262808,2.57689527068e-05
plaska,0.000280595262808,3.43586036091e-05
av,0.00119846793633,0.00119825630087
ris,2.84068966353e-06,3.14953866417e-05
bror,1.41075064634e-07,2.86321696742e-06
juice,0.000280595262808,1.43160848371e-05
djur,0.000742871097251,0.000743004803046
jag,0.000480688335578,0.000481020450527
idag,1.82897317837e-06,2.0042518772e-05
kuckeliku,9.21018636251e-07,1.14528678697e-05
sax,3.65705199369e-05,3.72218205765e-05
spade,0.000280595262808,4.72430799625e-05
flaska,0.000280595262808,7.15804241856e-06
morot,0.000127987478638,1.57476933208e-05
bord,6.95135736065e-05,7.01488157019e-05
pyjamas,3.83342891845e-06,6.01275563159e-05
lastbil,6.54582726564e-05,4.29482545114e-06
min,0.000454899900916,0.00045525149782
säng,0.000376101979798,0.000376513031216
pojke,0.000280595262808,0.00071723585034
sjuk,0.000290140820562,0.000290616522194
svår,3.5138574731e-05,3.57902120928e-05
glas,0.000142575773884,0.000143160848371
mig,5.37568776914e-05,5.44011223811e-05
pappa,0.000280595262808,0.00260266422339
snö,5.37568776914e-05,5.44011223811e-05
ugn,2.84068966353e-06,3.14953866417e-05
bok,0.00100505414192,0.00100498915557
får,0.00950237141854,0.00949585907246
hemma,0.000280595262808,0.000482452059011
lejon,0.000112490521701,0.000113097070213
lite,0.000280595262808,0.00567203281247
hämta,0.000280595262808,0.00071723585034
groda,0.000280595262808,5.44011223811e-05
glasögon,2.0043119846e-05,1.43160848371e-06
gaffel,3.65705199369e-05,3.72218205765e-05
pizza,0.000280595262808,2.57689527068e-05
gås,2.10771572527e-06,2.29057357394e-05
apelsin,2.84068966353e-06,3.14953866417e-05
elefant,0.000381832732989,0.000382239465151
bita,0.000280595262808,0.000807427184813
mat,0.00111107355002,0.00055546409168
klocka,0.000280595262808,3.72218205765e-05
pengar,0.000280595262808,0.000180382668948
våt,5.94864095859e-05,6.01275563159e-05
kam,1.82897317837e-06,2.0042518772e-05
kök,3.0660801985e-07,5.72643393485e-06
regn,0.00014973900852,0.00015031889079
vantar,0.000280595262808,5.15379054136e-05
visa,0.000280595262808,0.000436640587532
stor,0.00134173743579,0.00134141714924
sätta,0.000280595262808,0.00169216122775
kloss,3.37066899843e-05,3.43586036091e-05
hans,0.000280595262808,0.014369054351
soffa,0.000280595262808,3.14953866417e-05
halsband,2.0043119846e-05,1.43160848371e-06
