WORD,BFRQ,CNC,FAM,IMG,NPHN,NSYL
ROOSTER,,,385,,5,2
RUN,22,,,,3,1
SAD,7,360,589,419,3,1
SALT,1,594,612,570,4,1
SAME,136,248,569,326,,1
SANDWICH,1,,,,6,2
SAUCE,,576,522,569,3,1
SAY,432,,,,2,1
SCARED,2,,,,,
SCARF,,,,,4,1
SCHOOL,87,573,582,599,4,1
SCISSORS,1,596,559,609,5,2
SEE,796,352,625,379,2,1
SHAKE,,,,,3,1
SHARE,18,,,,2,1
SHE,486,406,599,474,2,1
SHEEP,1,622,507,596,3,1
SHIRT,5,616,612,612,3,1
SHOE,,600,569,601,2,1
SHOPPING,8,,,,,2
SHORTS,,,,,,
SHOULDER,,589,553,577,5,2
SHOVEL,,581,528,538,4,2
SHOW,27,402,559,424,2,1
SHOWER,1,588,593,615,3,2
SICK,4,404,571,456,3,1
SIDEWALK,1,,,,,
SING,2,421,576,527,3,1
SINK,4,590,586,599,4,1
SISTER,13,575,588,613,5,2
SIT,39,437,581,487,3,1
SKATE,,562,534,563,4,1
SKY,2,542,607,618,3,1
SLED,,,477,,,1
SLEEP,7,484,610,530,4,1
SLEEPY,1,,,,5,2
SLIDE,2,504,529,490,4,1
SLIPPER,,585,494,595,5,2
SLOW,4,293,602,377,3,1
SMILE,4,514,594,615,4,1
SNACK,,,,,4,1
SNEAKER,,,,,,2
SNOW,2,618,615,597,3,1
SNOWMAN,,,,,,
SO,1188,195,597,227,2,1
SOAP,,598,594,600,3,1
SOCK,1,581,578,553,3,1
SODA,,600,536,544,4,2
SOFA,2,629,564,597,4,2
SOFT,5,414,590,476,4,1
SOME,419,286,578,302,3,1
SOUP,2,615,576,604,3,1
SPAGHETTI,,,,,7,3
SPILL,1,,,,4,1
SPLASH,1,,,,5,1
SPOON,,614,612,584,4,1
SPRINKLER,,,,,8,2
SQUIRREL,,612,511,642,6,2
STAIRS,8,,,,,
STAND,29,450,564,471,5,1
STAR,2,574,574,623,3,1
STAY,38,329,573,321,3,1
STICK,17,604,528,517,4,1
STICKY,,,,,5,2
STONE,8,614,564,585,4,1
STOP,27,308,563,452,4,1
STORE,2,548,562,506,3,1
STORY,25,427,578,491,5,2
STOVE,,591,525,592,4,1
STRAWBERRY,,610,539,631,8,3
STREET,34,579,602,577,5,1
STROLLER,,,,,6,2
STUCK,13,,,,4,1
SUN,13,617,635,639,3,1
SWEATER,,,,,5,2
SWEEP,,476,495,513,4,1
SWIM,1,482,550,572,4,1
SWING,1,,,,4,1
TABLE,19,604,599,582,4,2
TAKE,152,332,555,337,3,1
TALK,73,422,613,453,3,1
TAPE,11,564,567,573,3,1
TASTE,10,464,580,425,4,1
TEACHER,20,569,599,575,5,2
TEAR,1,504,555,550,2,1
TELEPHONE,11,619,605,655,7,3
THAT,3169,232,611,225,3,1
THE,6833,237,625,209,2,1
THEIR,203,257,607,255,2,1
THEM,493,344,542,368,3,1
THEN,594,190,610,204,3,1
THERE,875,216,603,283,2,1
THESE,268,260,547,267,3,1
THEY,1365,316,607,312,2,1
THINK,1190,346,612,384,4,1
THIRSTY,1,451,602,482,5,2
THIS,1582,240,601,279,3,1
THOSE,153,254,570,247,3,1
THROW,5,400,548,477,3,1
TICKLE,1,473,524,492,,1
TICKLE,1,473,524,492,4,2
TIGER,,611,513,606,4,2
TIGHTS,,,,,3,1
TIME,415,343,604,413,3,1
TINY,8,,,,4,2
TIRED,7,,630,419,,2
TISSUE,,,,,5,2
TO,4434,199,613,220,2,1
TOAST,2,582,571,594,4,1
TODAY,31,,,,4,2
TOE,1,607,578,620,2,1
TOMORROW,25,,,,6,3
TONGUE,4,634,531,621,,2
TONGUE,4,634,531,621,3,1
TONIGHT,9,,,,5,2
TOO,197,208,595,261,2,1
TOOTH,2,619,578,624,3,1
TOOTHBRUSH,,,,,,
TOUCH,17,417,590,456,4,1
TOWEL,,,570,570,,2
TOY,,567,550,569,2,1
TRACTOR,,590,518,585,6,2
TRAIN,15,592,548,593,4,1
TRASH,4,588,541,599,4,1
TRAY,,590,558,550,3,1
TREE,5,604,613,622,3,1
TRICYCLE,,,436,,7,3
TRUCK,,595,620,621,4,1
TRY,64,260,636,318,3,1
TUMMY,,,,,4,2
TUNA,,,,,4,2
TURKEY,,,,,4,2
TURTLE,,644,509,564,4,2
TV,1,,,,,
UNCLE,3,580,557,574,,1
UNCLE,3,580,557,574,4,2
UNDER,43,319,544,426,4,2
UNDERPANTS,,,,,,
UP,592,400,608,391,2,1
US,151,397,618,428,2,1
VACUUM,1,389,487,479,7,2
VAGINA,,,,,6,3
VANILLA,,,,,6,3
VITAMINS,,,,,,
WAIT,17,317,577,357,3,1
WAKE,2,,,,3,1
WALK,19,452,625,505,3,1
WALKER,,,,,4,2
WANNA,,,,,,
WAS,2079,194,604,264,3,1
WASH,6,447,632,522,3,1
WATCH,7,487,576,525,4,1
WATER,24,616,641,632,4,2
WE,1060,270,614,389,2,1
WERE,539,200,593,243,2,1
WET,3,478,585,509,3,1
WHAT,1119,293,608,249,3,1
WHEN,557,219,609,231,3,1
WHERE,251,256,608,255,2,1
